CF,xc,yc,tc,projected_area,xwidth,ywidth,height,volume,duration,total_intensity,mean_intensity,max_intensity,xmax,ymax,tmax,variance,xbary,ybary,tbary,barintensity,relative_variance,x_image,y_image,lon_carrington,lat_carrington,corrcoeff,LOSdist,x_shift,y_shift,major_axis,minor_axis,angle
10,149.0,93.0,243.0,39,8,12,nan,93,8,38342,412.2795698924731,614,148,91,246,1583.879764263887,148,94,244,398,4.05842513077497,670.6209478036021,688.607626645023,151.78313253012047,16.913654618473895,nan,nan,nan,nan,13.072276681879757,3.674843022670722,-0.211137243322301
11,144.0,58.5,297.5,40,6,9,nan,191,15,69404,363.3717277486911,526,144,59,296,1376.7962454195902,144,58,297,409,3.9483334554503338,667.2897018959643,660.9053433374401,151.73493975903614,16.592369477911646,nan,nan,nan,nan,6.442830770678548,4.560281772615904,0.37617617318925906
12,137.0,79.5,301.5,58,8,13,nan,343,19,124506,362.9912536443149,573,136,75,297,1303.390044839964,136,77,299,344,3.7107134043436814,659.3982101900756,675.1567620749922,151.63855421686748,16.753012048192772,nan,nan,nan,nan,12.125718975738756,3.6101989717872818,-0.11010264569718227
13,129.5,85.5,252.5,20,5,5,nan,90,11,31045,344.94444444444446,487,130,85,248,1197.1239032057963,129,85,251,432,3.641425116820048,653.5068770503451,684.1012714456389,151.56626506024097,16.853413654618475,nan,nan,nan,nan,4.780914437337574,3.5456210417116734,0.7853981633974483
14,103.5,92.5,226.0,29,7,7,nan,165,14,57696,349.6727272727273,502,103,93,220,1217.8955589660895,103,93,224,397,3.60163499419933,627.535982419038,692.15306562285,151.24096385542168,16.933734939759034,nan,nan,nan,nan,7.725283166331186,3.4058772731852796,-0.9907935525872157
15,47.0,128.5,79.0,26,6,7,nan,194,16,62630,322.83505154639175,548,46,128,79,1050.584926712787,46,128,79,548,3.3647961861420748,572.3816135459956,724.9541022403594,150.55421686746988,17.285140562248998,nan,nan,nan,nan,5.550914494236674,4.157657238129662,-0.6141317727351288
16,133.5,79.5,275.5,29,5,9,nan,214,15,79766,372.7383177570093,602,134,78,282,1173.3839980327516,133,79,277,437,3.2658874305781143,657.4395957509366,677.848278354238,151.6144578313253,16.783132530120483,nan,nan,nan,nan,7.590844867692737,3.805907816545795,-0.2694882499145731
17,160.0,70.5,298.5,24,8,5,nan,88,7,34644,393.6818181818182,552,158,70,297,1252.2789178189141,159,69,298,423,3.2541935206787107,680.5124454322577,669.9331773835348,151.90361445783134,16.70281124497992,nan,nan,nan,nan,5.79093571445421,3.692507782533316,-1.2791098232979687
18,32.5,139.5,213.0,21,5,7,nan,71,8,24846,349.943661971831,509,32,140,211,1048.1931456229693,32,140,212,446,3.145164024790754,558.7813487223555,735.974989335994,150.3855421686747,17.40562248995984,nan,nan,nan,nan,4.8787355923300915,4.352923043212635,-1.4670482135772953
19,113.5,134.0,192.0,29,5,10,nan,105,10,39578,376.93333333333334,556,113,132,192,1136.6096646019403,113,132,192,556,3.1386080664678553,636.5051664241184,725.6620071790975,151.36144578313252,17.325301204819276,nan,nan,nan,nan,8.759904481151812,3.6985924277311706,0.04857541157477415
